symbol,output_size,window_size,data_mode,n_estimators,criterion,min_samples_leaf,max_depth,max_string_lenght:,val_score,test_score,balance_score
GOOGL,7,3,2,100,entropy,5,8,10000,0.38636363636363635,0.3392857142857143,0.4
TSLA,3,3,2,100,gini,5,1,1000,0.38636363636363635,0.55,0.5517241379310345
MSFT,3,14,2,5,entropy,5,5,1000,0.38636363636363635,0.48333333333333334,0.52
TSLA,3,3,2,10,entropy,5,5,10000,0.38636363636363635,0.6166666666666667,0.6206896551724138
TSLA,3,14,2,100,gini,5,3,1000,0.38636363636363635,0.5666666666666667,0.5689655172413793
AAPL,3,3,2,5,gini,5,6,20000,0.38636363636363635,0.6166666666666667,0.5961538461538461
AAPL,3,7,2,10,gini,5,3,10000,0.38636363636363635,0.5333333333333333,0.5192307692307693
AAPL,3,7,2,10,entropy,5,10,10000,0.38636363636363635,0.5333333333333333,0.5769230769230769
AAPL,3,14,2,10,gini,5,1,1000,0.38636363636363635,0.6,0.6153846153846154
AAPL,3,3,2,5,gini,5,9,20000,0.38636363636363635,0.5833333333333334,0.6153846153846154
TSLA,3,3,2,10,entropy,5,5,1000,0.38636363636363635,0.5333333333333333,0.5517241379310345
MSFT,7,3,2,5,gini,5,3,1000,0.38636363636363635,0.3392857142857143,0.3611111111111111
MSFT,14,7,2,5,entropy,5,3,1000,0.38636363636363635,0.6326530612244898,0.6875
AAPL,3,7,2,5,gini,5,6,20000,0.38636363636363635,0.48333333333333334,0.5384615384615384
AMZN,7,3,2,5,entropy,5,7,500,0.38636363636363635,0.5714285714285714,0.5925925925925926
GOOGL,7,3,2,10,gini,5,10,500,0.38636363636363635,0.5,0.54
TSLA,3,14,2,5,gini,5,1,1000,0.38636363636363635,0.5833333333333334,0.5862068965517241
AAPL,3,7,2,10,gini,5,6,20000,0.38636363636363635,0.5333333333333333,0.5961538461538461
MSFT,3,3,2,5,gini,5,2,1000,0.38636363636363635,0.5333333333333333,0.5
AAPL,3,3,2,5,entropy,5,8,500,0.38636363636363635,0.36666666666666664,0.36538461538461536
TSLA,3,3,2,10,gini,5,9,20000,0.38636363636363635,0.4666666666666667,0.46551724137931033
GOOGL,3,7,2,5,gini,5,1,20000,0.38636363636363635,0.43333333333333335,0.4423076923076923
AMZN,3,14,2,5,entropy,5,3,20000,0.38636363636363635,0.5166666666666667,0.5185185185185185
AAPL,3,14,2,10,entropy,5,7,1000,0.38636363636363635,0.4,0.38461538461538464
TSLA,3,7,2,5,gini,5,6,10000,0.38636363636363635,0.5166666666666667,0.5172413793103449
GOOGL,3,14,2,5,entropy,5,1,500,0.38636363636363635,0.6,0.6538461538461539
TSLA,3,7,2,5,entropy,5,9,1000,0.38636363636363635,0.5333333333333333,0.5172413793103449
MSFT,3,7,2,5,gini,5,3,1000,0.38636363636363635,0.6333333333333333,0.68
AAPL,7,3,2,5,entropy,5,1,1000,0.38636363636363635,0.5892857142857143,0.5833333333333334
GOOGL,7,3,2,10,gini,5,9,1000,0.38636363636363635,0.48214285714285715,0.5
GOOGL,3,3,2,5,gini,5,7,10000,0.38636363636363635,0.55,0.5961538461538461
AMZN,7,3,2,10,entropy,5,6,500,0.38636363636363635,0.5357142857142857,0.5185185185185185
GOOGL,3,7,2,10,gini,5,3,10000,0.38636363636363635,0.38333333333333336,0.4230769230769231
TSLA,3,7,2,10,entropy,5,9,1000,0.38636363636363635,0.55,0.5517241379310345
TSLA,3,7,2,5,entropy,5,6,500,0.38636363636363635,0.5333333333333333,0.5344827586206896
GOOGL,3,14,2,10,gini,5,10,20000,0.38636363636363635,0.43333333333333335,0.46153846153846156
AAPL,7,3,2,10,entropy,5,3,500,0.38636363636363635,0.5,0.5277777777777778
TSLA,3,7,2,100,gini,5,10,1000,0.38636363636363635,0.5666666666666667,0.5517241379310345
TSLA,3,7,2,100,entropy,5,7,1000,0.38636363636363635,0.6333333333333333,0.6379310344827587
TSLA,3,7,2,5,gini,5,10,10000,0.38636363636363635,0.5666666666666667,0.5689655172413793
TSLA,3,3,2,5,gini,5,5,1000,0.38636363636363635,0.5666666666666667,0.5517241379310345
GOOGL,3,14,2,10,gini,5,6,20000,0.38636363636363635,0.4,0.4230769230769231
TSLA,3,7,2,5,gini,5,8,1000,0.38636363636363635,0.5166666666666667,0.5172413793103449
GOOGL,7,7,2,5,gini,5,2,1000,0.38636363636363635,0.48214285714285715,0.5
MSFT,3,3,2,10,entropy,5,8,1000,0.38636363636363635,0.5666666666666667,0.62
GOOGL,7,3,2,5,gini,5,6,1000,0.38636363636363635,0.48214285714285715,0.48
GOOGL,3,14,2,5,gini,5,7,20000,0.38636363636363635,0.5,0.5
TSLA,3,7,2,5,gini,5,8,20000,0.38636363636363635,0.4666666666666667,0.46551724137931033
GOOGL,3,7,2,10,entropy,5,3,10000,0.38636363636363635,0.43333333333333335,0.46153846153846156
AMZN,3,3,2,5,gini,5,1,20000,0.38636363636363635,0.5,0.4444444444444444
AMZN,7,14,2,10,gini,5,4,20000,0.38636363636363635,0.48214285714285715,0.5
MSFT,3,3,2,10,entropy,5,3,1000,0.4090909090909091,0.5,0.52
AMZN,7,3,2,10,gini,5,3,20000,0.4090909090909091,0.4107142857142857,0.42592592592592593
AAPL,3,7,2,5,entropy,5,3,20000,0.4090909090909091,0.5833333333333334,0.5961538461538461
GOOGL,7,7,2,10,gini,5,10,500,0.4090909090909091,0.5178571428571429,0.5
