date,title,source,desc,url,img
2023-06-06,Apple’s Vision Pro AR headset is finally here,TechCrunch,"After a reported seven years of development, Apple's AR headset is finally here. It's been a minute since we've had a “one more thing” moment.",https://techcrunch.com/2023/06/05/apple-headset/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-06-06,Apple reveals augmented-reality headset Vision Pro,Reuters,"CUPERTINO, California, June 5 (Reuters) - Apple Inc (AAPL.O) unveiled an augmented-reality headset called the Apple Vision Pro at its annual software...",https://www.reuters.com/technology/apple-expected-reveal-mixed-reality-headset-developer-conference-2023-06-05/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-06-06,Apple Stock Hits Record High Before Mixed-Reality Headset Debut,Investor's Business Daily,"Apple stock hit a record high on Monday ahead of the company's Worldwide Developers Conference, known as WWDC, in Cupertino, Calif.",https://www.investors.com/news/technology/apple-stock-hits-record-high-before-mixed-reality-headset-debut/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-06-06,Apple shares erase gains. So does the Nasdaq index.,Forexlive,Apple shares have given up their gains in trade marginally lower by about $0.30 or -0.17% to they announced their Vision Pro VR product.,https://www.forexlive.com/news/apple-shares-the-erace-gains-so-does-nasdaq-gains-20230605/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
,"Apple's WWDC 2023 Live Updates: Vision Pro AR/VR Headset Unveiled, Keynote Underway, and Other Hightlights",Barron's,"Apple CEO Tim Cook kicked off the Worldwide Developers Conference keynote with a promise to deliver ""some of our biggest announcements ever at WWDC."".",https://www.barrons.com/livecoverage/apple-wwdc-2023,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
,"Apple WWDC 2023 live updates: Apple stock price nosedives as iOS, VisionPro fails to enthuse investors | Mint",Mint,"The Apple WWDC is a highly anticipated event for Apple, where the company shares its latest software developments and the new laptops with developers,...",https://www.livemint.com/news/world/apple-wwdc-2023-live-updates-how-to-watch-what-to-expect-and-everything-we-know-so-far-11685932400831.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-06-06,"Apple unveils mixed reality headset, Apple Vision Pro, at WWDC 2023",Yahoo Finance,"Apple (AAPL) unveiled its long-awaited mixed reality headset, TKname, at the company's Worldwide Developers Conference 2023 (WWDC).",https://finance.yahoo.com/news/apple-unveils-mixed-reality-headset-apple-vision-pro-at-wwdc-2023-184016136.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-06-06,Apple unveils Vision Pro 'mixed reality' headset in hotly anticipated launch,Financial Times,"Apple unveiled its long-awaited “mixed reality” headset on Monday, in its most anticipated hardware product since Steve Jobs revealed the iPad in 2010.",https://www.ft.com/content/80a19fc4-3f60-4d4a-8539-812ed561ed8b,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-06-06,"Apple WWDC 2023: Tim Cook unveils Apple Vision Pro, company`s first augmented-reality headset",WION,"Apple WWDC 2023: Apple Inc CEO Tim Cook unveiled what is now the tech giant's first augmented-reality headset. The headset, called Apple Vision Pro,...",https://www.wionews.com/technology/apple-wwdc-2023-tim-cook-unveils-vision-pro-companys-first-augmented-reality-headset-601019,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-06-06,Apple unveils new Mac Studio and brings Apple silicon to Mac Pro,Investing News Network,"With M2 Max and the new M2 Ultra, Mac Studio is a performance powerhouse in a compact design, while the new Mac Pro combines the incredibly powerful M2...",https://investingnews.com/apple-unveils-new-mac-studio-and-brings-apple-silicon-to-mac-pro/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
