,close,open,high,low,adjusted close,volume,WILLR_200,SMI_100_200_5,SMIs_100_200_5,SMIo_100_200_5,STOCHRSIk_200_200_3_3,STOCHRSId_200_200_3_3,CCI_200_0.015,MACD_26_200_9,MACDh_26_200_9,MACDs_26_200_9,DMP_200,DMN_200,CFO_200,CMO_200,ER_200,MOM_200,ROC_200,STC_200_200_400_0.5,STCmacd_200_200_400_0.5,STCstoch_200_200_400_0.5,SLOPE_200,BULLP_200,BEARP_200,BBL_200_2.0,BBM_200_2.0,BBU_200_2.0,BBB_200_2.0,BBP_200_2.0,SMA_200,EMA_200,VWAP_D,HMA_200,CMF_20
1999-11-01,77.62,80.0,80.69,77.37,0.588966481387578,2487300.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,78.56,,
1999-11-02,80.25,78.0,81.69,77.31,0.608922444361674,3564600.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,79.75,,
1999-11-03,81.5,81.62,83.25,81.0,0.618407217638335,2932700.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,81.91666666666667,,
1999-11-04,83.62,82.06,85.37,80.62,0.634493393115553,3384700.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,83.20333333333333,,
1999-11-05,88.31,84.62,88.37,84.0,0.670080262449588,3721500.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,86.89333333333333,,
1999-11-08,96.37,87.75,97.73,86.75,0.731238080537502,8490400.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,93.61666666666667,,
1999-11-09,89.62,94.37,94.5,88.0,0.680020304843529,7224800.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,90.70666666666665,,
1999-11-10,91.44,88.25,93.25,88.12,0.693830134734348,5159800.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,90.93666666666667,,
1999-11-11,92.25,91.59,92.62,89.87,0.699976267817625,2409600.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,91.58,,
1999-11-12,90.62,91.94,92.0,87.37,0.687608123464858,2491600.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,89.99666666666667,,
1999-11-15,89.44,89.62,92.87,88.5,0.67865449749169,2320600.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,90.27,,
1999-11-16,91.19,90.0,91.75,88.5,0.691933180079016,2088000.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,90.48,,
1999-11-17,90.25,90.69,94.75,90.0,0.684800630574966,3255100.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,91.66666666666667,,
1999-11-18,89.62,91.06,91.12,88.44,0.680020304843529,3257000.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,89.72666666666667,,
1999-11-19,92.44,89.5,92.87,88.06,0.701417953355677,2790300.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,91.12333333333333,,
1999-11-22,90.62,91.75,91.75,89.25,0.687608123464858,1806800.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,90.54,,
1999-11-23,92.81,91.75,95.25,88.5,0.704225446245569,4851000.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,92.18666666666667,,
1999-11-24,94.69,93.0,95.0,91.69,0.718490545253668,1920600.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,93.79333333333334,,
1999-11-26,95.06,94.75,95.5,94.12,0.72129803814356,1179200.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,94.89333333333333,,
1999-11-29,94.56,94.25,99.75,93.25,0.717504128832895,4144300.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,95.85333333333334,,0.13106760789152536
1999-11-30,97.87,98.12,103.75,97.37,0.742619808469495,7528400.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,99.66333333333334,,0.06536239336627817
1999-12-01,103.06,101.0,104.5,100.06,0.782000587114194,5522900.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,102.54,,0.07309946442722752
1999-12-02,110.19,103.12,110.62,101.75,0.836101733884272,5065700.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,107.52,,0.15003279993636714
1999-12-03,115.0,112.19,115.56,111.87,0.872599141452866,5785000.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,114.14333333333335,,0.18432727987145567
1999-12-06,116.0,114.56,117.31,111.44,0.880186960074195,4167700.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,114.91666666666667,,0.16721366399939508
1999-12-07,117.81,116.56,118.0,114.0,0.893920911778801,3973400.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,116.60333333333334,,0.14075339933760622
1999-12-08,110.06,116.25,117.87,109.5,0.835115317463499,3681700.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,112.47666666666667,,0.15346712933231316
1999-12-09,105.25,111.0,111.0,100.87,0.798617909894905,7635700.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,105.70666666666666,,0.11483223643839006
1999-12-10,103.0,105.31,109.25,99.0,0.781545317996915,5694300.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,103.75,,0.07202796347025311
