,date,4. close,1. open,2. high,3. low,6. volume,SMA_10,EMA_10,SMA_20,EMA_20,SMA_30,EMA_30,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200,HMA_9,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,WILLR_14,CCI_20_0.015,MOM_10,BULLP_13,BEARP_13,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,UO_7_14_28,s_SMA_10,s_EMA_10,s_SMA_20,s_EMA_20,s_SMA_30,s_EMA_30,s_SMA_50,s_EMA_50,s_SMA_100,s_EMA_100,s_SMA_200,s_EMA_200,s_HMA,s_MACD,s_RSI,s_STOCHRSI,s_WILLR,s_MOM,s_ERI,s_CCI,s_BBANDS,s_UO
25,1999-12-07,117.81,116.56,118.0,114.0,3973400.0,103.70500000000001,106.2505502102678,97.227,99.33825525295705,,,,,,,,,120.49874074074076,86.40649328144973,10.174001894828194,,,,,-0.634602538410145,177.84798476769828,27.189999999999998,14.287463620228252,10.287463620228252,101.78723346138838,112.41199999999999,123.0367665386116,18.90326039677545,0.7540291111519046,,1,1,1,1,0,0,0,0,0,0,0,0,0.0,0,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0
26,1999-12-08,110.06,116.25,117.87,109.5,3681700.0,105.42999999999999,106.94317744476456,98.249,100.35937380029448,,,,,,,,,119.56940740740743,68.50941717155193,9.864720866958493,,,,,-26.519706078824314,117.98145123984297,17.25,13.250683103052793,4.880683103052789,107.5268377904782,113.81199999999998,120.09716220952177,11.04481462327661,0.20151923888966294,,1,1,1,1,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
27,1999-12-09,105.25,111.0,111.0,100.87,7635700.0,106.48599999999999,106.63532700026191,98.9395,100.82514772407595,,,,,,,,,114.7033703703704,60.178292676974344,9.126284496212065,,,,,-42.585170340681366,55.404824979124406,10.560000000000002,6.290585516902382,-3.839414483097613,103.67250525870223,112.824,121.97549474129777,16.222602888211316,0.086187818814944,62.16514485858762,-1,-1,1,1,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0
28,1999-12-10,103.0,105.31,109.25,99.0,5694300.0,107.28,105.97435845475974,99.477,101.03227651225919,,,,,,,,,108.23700000000002,56.704582102493106,8.264247060485218,,,,,-50.847457627118644,35.08983844179376,7.939999999999998,4.784787585916334,-5.465212414083666,98.84252099255019,110.424,122.00547900744982,20.976380148246424,0.1794882590028225,57.17810873108671,-1,-1,1,1,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0
29,1999-12-13,99.0,102.39,102.5,98.94,4731800.0,107.724,104.70629328116705,99.896,100.8387263682345,95.65066666666667,95.65066666666667,,,,,,,101.82014814814814,51.061580443425385,7.1755938323746165,,,0.0,,-64.40677966101696,2.0894215972780104,4.439999999999998,-1.1844677835002813,-4.7444677835002835,94.08477838508047,107.024,119.96322161491953,24.18003740267516,0.18993498068122,49.71081892304527,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,1.0,-1.0,-1.0,0.0,0.0
30,1999-12-14,94.87,98.37,99.75,94.75,3891700.0,107.424,102.91787632095485,100.1675,100.27027623792647,96.22566666666667,95.60030107526883,,,,,,,96.32477777777778,45.97433993487564,5.911428553001656,,,0.0,,-87.91334093500568,-32.92592690081572,-3.0,-2.675258100143111,-7.675258100143111,92.02782936342794,102.436,112.84417063657207,20.32131406257969,0.13653555153031838,43.04995866514884,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0.0,0,0.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0
31,1999-12-15,97.0,93.25,97.25,91.06,5562300.0,106.81800000000001,101.84189880805397,100.458,99.95882135812396,96.784,95.6906042317031,,,,,,,93.39737037037037,48.80711355760419,5.023533493059844,,,2.33541326911014,0.77847108970338,-77.9510022271715,-47.996534741019794,-6.060000000000002,-4.400221228694107,-10.590221228694105,92.19644364163719,99.824,107.45155635836281,15.2820090526583,0.31488173490165167,45.20985360366199,-1,-1,-1,-1,1,1,0,0,0,0,0,0,-1.0,0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0
32,1999-12-16,98.31,98.0,98.37,94.0,4141300.0,105.63,101.19973538840779,100.861,99.80179075258833,97.34433333333332,95.85959750707711,,,,,,,93.13759259259261,50.52530399711639,4.375142394893928,,,6.0873480417740735,2.8075871036280713,-73.08834446919079,-35.243330279559224,-11.879999999999995,-2.803046767452088,-7.173046767452092,93.0737228717642,98.436,103.79827712823581,10.894951294721043,0.4882512599603875,46.163998206891044,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0
33,1999-12-17,100.0,100.87,102.0,98.5,4419700.0,104.13,100.98160168142455,101.38,99.82066782377039,97.89033333333333,96.12672024855601,,,,,,,95.07166666666667,52.72950852831045,3.952099313483103,-3.144239787105466,7.096339100588569,11.656487150386658,6.693082820423624,-66.815144766147,-10.384843335068716,-15.0,0.9945313421839046,-2.5054686578160954,94.28539216471307,97.836,101.38660783528692,7.258284957044289,0.8047365550334185,50.32079246284908,-1,-1,-1,1,1,1,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,-1.0,1.0,-1.0,0.0,0.0
34,1999-12-20,98.0,99.56,99.62,96.62,2535600.0,102.33,100.4394922848019,101.658,99.64727088817321,98.21333333333332,96.2475770067137,,,,,,,97.01214814814814,49.89638313479155,3.4160729754719767,-2.944212900093274,6.360285875565251,12.554509711663917,10.099448301274881,-74.23904974016334,-35.76611182244992,-18.0,-0.9561159924137996,-3.9561159924137996,94.26191997723811,97.636,101.01008002276188,6.911549065430554,0.553940629378145,51.24299132984303,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0
